rank,PetID,tier,proba_slow,y_true,Name,Type,Age,Breed1,Gender,Color1,MaturitySize,FurLength,Vaccinated,Sterilized,Health,Quantity,Fee,PhotoAmt,Description,Type_str,Breed1_str,Gender_str,Color1_str,MaturitySize_str,FurLength_str,Vaccinated_str,Sterilized_str,Health_str,age_group,has_photo,is_group,Fee_is_free,has_name,tier_order,predicted_slow,y_true_str,n_words_original,n_words_rewritten,description_original,description_rewritten,has_rewritten_description,length_delta_words
11,d14a86fd4,High,0.5758692336420242,0,Neoh Neoh,1,12,307,2,1,2,1,1,1,1,1,0,1.0,"She is a playful girl,she need a lovely family",Dog,Mixed Breed,Female,Black,Medium,Short,Yes,Yes,Healthy,Young Adult (7-24m),True,False,True,True,1,True,Slow,9.0,39.0,"She is a playful girl,she need a lovely family","Neoh Neoh is a playful twelve-month-old female mixed-breed dog. This medium-sized, black dog with short fur is fully vaccinated and sterilized and currently in good health. She’s looking for a lovely family to share her energy and enthusiasm with.",True,30.0
12,f68a56b90,High,0.5758393417912555,0,K-16 Happy,1,24,307,2,2,2,2,3,3,1,1,0,3.0,"""This dog is one of the dogs rescued from the Klang Pound in April just before D-day (when they are put to death). It has been rehabilitated and urgently needs a loving home as we have limited resources. It is unfortunate that due to the aggressiveness of the contracted dogcatchers, most of these beautiful dogs are not strays and previously had homes. Hence, most of them are sociable and loving. Serving the voiceless, SAS Volunteer. P/s: Please contact Jackie by calling or texting her at, she's a grandma at emails. """,Dog,Mixed Breed,Female,Brown,Medium,Medium,Not Sure,Not Sure,Healthy,Young Adult (7-24m),True,False,True,True,1,True,Slow,91.0,57.0,"""This dog is one of the dogs rescued from the Klang Pound in April just before D-day (when they are put to death). It has been rehabilitated and urgently needs a loving home as we have limited resources. It is unfortunate that due to the aggressiveness of the contracted dogcatchers, most of these beautiful dogs are not strays and previously had homes. Hence, most of them are sociable and loving. Serving the voiceless, SAS Volunteer. P/s: Please contact Jackie by calling or texting her at, she's a grandma at emails. ""","K-16 Happy is a 24-month-old female mixed-breed dog with medium-length brown fur and a medium size. She was rescued from a pound and is currently healthy. Due to her previous circumstances, K-16 Happy is looking for a loving home where she can thrive. She is sociable and loving, and would benefit from a patient and understanding adopter.",True,-34.0
13,7d7da3838,High,0.5758125553211408,1,,1,24,307,3,1,2,1,2,1,1,2,0,0.0,Please give local dogs a home Actually they are 4 dogs! There are mother n son one more mother n daughter. They are poor doggies! The bad stall complaint there stay here n disturb their business! Suddenly these poor dogs son n daughter missing! Now leave these 2 mother dogs! This mother dogs actually can live happy with their son n daughter! Too bad human being make them live alone! Human make their family broken! These both mothers also got bad history! They also dump by their owner! They also alaways bully n abuse by human! Both of mother dogs though that can live together be best friend! Too bad their dream can not go thru! Someone warning want they die! I get this news not choice i bring them to the vet! Now they are safe! Keep in the vet make me costly a lot hope! you can open your heart to bring them home! Pls give them a chance! They are spayed! Share pls !,Dog,Mixed Breed,Mixed,Black,Medium,Short,No,Yes,Healthy,Young Adult (7-24m),False,True,True,False,1,True,Fast,167.0,87.0,Please give local dogs a home Actually they are 4 dogs! There are mother n son one more mother n daughter. They are poor doggies! The bad stall complaint there stay here n disturb their business! Suddenly these poor dogs son n daughter missing! Now leave these 2 mother dogs! This mother dogs actually can live happy with their son n daughter! Too bad human being make them live alone! Human make their family broken! These both mothers also got bad history! They also dump by their owner! They also alaways bully n abuse by human! Both of mother dogs though that can live together be best friend! Too bad their dream can not go thru! Someone warning want they die! I get this news not choice i bring them to the vet! Now they are safe! Keep in the vet make me costly a lot hope! you can open your heart to bring them home! Pls give them a chance! They are spayed! Share pls !,"These two adult mother dogs are looking for a loving home. They are approximately 24 months old and have a short, black coat. Despite a challenging past marked by abandonment and previous abuse, they share a strong bond and believe a family is what they need most. They are spayed and currently receiving care at the veterinary clinic. While not fully vaccinated, they are otherwise healthy. A calm and patient household would provide the perfect environment for these gentle companions to finally experience the companionship they deserve.",True,-80.0
14,6220663ba,High,0.5756021146909233,0,Mr Potato,1,8,307,1,1,2,2,1,1,1,1,150,11.0,"Mr Potato is extremely handsome, super friendly, nice, goofy, funny dog. He's a good guard dog (barks loud), but cannot defend the house (he will be friends with anyone!). He's a good friend too all other dogs out there. Even if you already have 6 dogs, he can make it seven for you without much fuss/ trouble. Other dogs usually accept him happily. He is very healthy, strong, very charming, a sweetheart to all. Please adopt him. For serious adopters only..",Dog,Mixed Breed,Male,Black,Medium,Medium,Yes,Yes,Healthy,Young Adult (7-24m),True,False,False,True,1,True,Slow,81.0,67.0,"Mr Potato is extremely handsome, super friendly, nice, goofy, funny dog. He's a good guard dog (barks loud), but cannot defend the house (he will be friends with anyone!). He's a good friend too all other dogs out there. Even if you already have 6 dogs, he can make it seven for you without much fuss/ trouble. Other dogs usually accept him happily. He is very healthy, strong, very charming, a sweetheart to all. Please adopt him. For serious adopters only..","Mr Potato is a handsome, eight-month-old male dog of medium size and black fur. He is friendly and playful, with a goofy personality. Mr Potato is a healthy and strong dog who barks loudly. He enjoys the company of other dogs and is generally well-accepted. He is sterilized and fully vaccinated. Mr Potato would thrive in a home where he can receive plenty of attention and exercise.",True,-14.0
15,1ccd49ce2,High,0.5749499327475929,0,K-29 Kina,1,24,307,2,1,2,2,1,1,1,1,0,2.0,"""This dog is one of the dogs rescued from the Klang Pound in April just before D-day (when they are put to death). It has been rehabilitated and urgently needs a loving home as we have limited resources. It is unfortunate that due to the aggressiveness of the contracted dogcatchers, most of these beautiful dogs are not strays and previously had homes. Hence, most of them are sociable and loving. Serving the voiceless, SAS Volunteer. P/s: Please contact Jackie by calling or texting her at, she's a grandma at emails. """,Dog,Mixed Breed,Female,Black,Medium,Medium,Yes,Yes,Healthy,Young Adult (7-24m),True,False,True,True,1,True,Slow,91.0,62.0,"""This dog is one of the dogs rescued from the Klang Pound in April just before D-day (when they are put to death). It has been rehabilitated and urgently needs a loving home as we have limited resources. It is unfortunate that due to the aggressiveness of the contracted dogcatchers, most of these beautiful dogs are not strays and previously had homes. Hence, most of them are sociable and loving. Serving the voiceless, SAS Volunteer. P/s: Please contact Jackie by calling or texting her at, she's a grandma at emails. ""","K-29 Kina is a 24-month-old female, medium-sized, black, mixed-breed dog. She was rescued from the Klang Pound in April. Kina is healthy and fully vaccinated and sterilized. She is a sociable and loving dog who needs a patient and understanding home. Kina was part of a group of dogs facing euthanasia and is now seeking a second chance at a happy life.",True,-29.0
16,a6e902691,High,0.57479756353225,0,K-12 Auntie Moca,1,48,307,2,2,2,2,3,3,1,1,0,3.0,"Adopt Auntieeee... ""This dog is one of the dogs rescued from the Klang Pound in April just before D-day (when they are put to death). It has been rehabilitated and urgently needs a loving home as we have limited resources. It is unfortunate that due to the aggressiveness of the contracted dogcatchers, most of these beautiful dogs are not strays and previously had homes. Hence, most of them are sociable and loving. Serving the voiceless, SAS Volunteer. P/s: Please contact Jackie by calling or texting her at, she's a grandma at emails. """,Dog,Mixed Breed,Female,Brown,Medium,Medium,Not Sure,Not Sure,Healthy,Adult/Senior (25+m),True,False,True,True,1,True,Slow,93.0,54.0,"Adopt Auntieeee... ""This dog is one of the dogs rescued from the Klang Pound in April just before D-day (when they are put to death). It has been rehabilitated and urgently needs a loving home as we have limited resources. It is unfortunate that due to the aggressiveness of the contracted dogcatchers, most of these beautiful dogs are not strays and previously had homes. Hence, most of them are sociable and loving. Serving the voiceless, SAS Volunteer. P/s: Please contact Jackie by calling or texting her at, she's a grandma at emails. ""","K-12 Auntie Moca is a 48-month-old female mixed-breed dog with medium-length brown fur and a medium size. She was rescued from a pound in April. Auntie Moca is currently healthy. Due to her previous history, she benefits from a patient and understanding household. She is looking for a loving home where she can thrive.",True,-39.0
17,a6a0b1762,High,0.5746938738054843,1,Dini (Spayed&Vaccinated),1,24,307,2,1,2,1,1,1,1,1,0,5.0,This beautiful girl was rescued from sri kembangan apartment as management called MPSJ and we managed to save her from the pack. She is extremely friendly and is playful! My sister has been feeding her daily and even got her spayed & vaccinated. Please give her a home ASAP and love her! We are also looking for people to foster her at the moment as she is not safe in the condo area.,Dog,Mixed Breed,Female,Black,Medium,Short,Yes,Yes,Healthy,Young Adult (7-24m),True,False,True,True,1,True,Fast,73.0,62.0,This beautiful girl was rescued from sri kembangan apartment as management called MPSJ and we managed to save her from the pack. She is extremely friendly and is playful! My sister has been feeding her daily and even got her spayed & vaccinated. Please give her a home ASAP and love her! We are also looking for people to foster her at the moment as she is not safe in the condo area.,"Dini is a 24-month-old female, medium-sized, short-haired black mixed-breed dog. She is spayed and vaccinated. Dini was rescued from a multi-dog situation and is known for being friendly and playful. She is currently healthy. We are seeking a loving home for Dini and are also exploring foster care options for her, as she requires a safe environment outside of the apartment complex.",True,-11.0
18,de445d837,High,0.5745716833748848,0,Sandra (L),1,9,307,2,2,2,1,1,1,1,1,0,1.0,"Sandra is a very shy dog but smart and alert. Well behave, doesn't fight and friendly. She don't ask for big house, car or good food. A place for her to run around , a proper meal and a shelter away from the dangers and cruelty is all she need. Pls do not hesitate to call me if you have any queries at",Dog,Mixed Breed,Female,Brown,Medium,Short,Yes,Yes,Healthy,Young Adult (7-24m),True,False,True,True,1,True,Slow,,,,,False,
19,4872c28b4,High,0.5745664469564524,0,,1,36,307,1,1,3,1,3,3,1,4,0,4.0,"These dogs were found abandoned and malnourished They were rescued by a kind soul who has now no place to keep them , being turned out of the kennels he was renting at Jabatan Veterinar, Penang. Please help find them a home or a place where we can keep them and take care of them ona daily basis. The dogs are very friendly and loving. Though the are adult dogs, they are as adaptable as puppies, but are less destructive to your belongings, than puppies.",Dog,Mixed Breed,Male,Black,Large,Short,Not Sure,Not Sure,Healthy,Adult/Senior (25+m),True,True,True,False,1,True,Slow,85.0,68.0,"These dogs were found abandoned and malnourished They were rescued by a kind soul who has now no place to keep them , being turned out of the kennels he was renting at Jabatan Veterinar, Penang. Please help find them a home or a place where we can keep them and take care of them ona daily basis. The dogs are very friendly and loving. Though the are adult dogs, they are as adaptable as puppies, but are less destructive to your belongings, than puppies.","This large, black, mixed-breed dog is 36 months old. He was found abandoned and malnourished and is currently seeking a loving home. Despite his past, he is a friendly and loving companion, displaying the adaptability of a younger dog. While an adult, he is less destructive than puppies. His vaccination and sterilization status is currently unknown. A calm and patient home would be ideal for this gentle male.",True,-17.0
20,739cd2d34,High,0.5735642619647396,1,Abby,1,156,307,2,1,2,2,1,3,1,1,0,1.0,"Abby is 13 years old. The owner wants her euthanised because he is moving house. Please help to give her a home so that she can live out her natural life. She is healthy, gentle and still active, and has been a pet all her life. She is being boarded now, awaiting euthanasia. The owner has abandoned her. Poor Abby. Please help.",Dog,Mixed Breed,Female,Black,Medium,Medium,Yes,Not Sure,Healthy,Adult/Senior (25+m),True,False,True,True,1,True,Fast,62.0,63.0,"Abby is 13 years old. The owner wants her euthanised because he is moving house. Please help to give her a home so that she can live out her natural life. She is healthy, gentle and still active, and has been a pet all her life. She is being boarded now, awaiting euthanasia. The owner has abandoned her. Poor Abby. Please help.","Abby is a 156-month-old female mixed-breed dog. She is medium in size with medium-length black fur and remains healthy and active. Abby has spent her life as a beloved companion and is currently being boarded while she awaits a permanent home. Due to circumstances beyond her control, she requires a loving family to provide a comfortable and stable environment for her remaining years.",True,1.0
21,cdd7aee45,High,0.5734015090181759,0,Lucky,1,24,307,2,2,2,1,3,3,1,1,0,6.0,"Update: 17/8/12 : Lucky is healthy and cured now, she is absolutely ready for a new home.. Please give her a home if you are looking for a new member for your family.. Today morning i rescued a stray from the senai-de saru highway who was probably an accident victim, she was bleeding and could not walk. I brought her to the vet at Global Pets Sdn Bhd in Nusa Bestari Johor Bahru. The vet there examined her and told me her front leg is broken. This is before the xray examination. They also suspect she might have internal injuries as there was bleeding from anus. But, they said at that moment life threatening issue was brain trauma. They are going to give her 10 doses of medication for head trauma for 3 nights and 4 days before further evaluation. I would really appreciate if someone could foster or adopt her after she is discharged.",Dog,Mixed Breed,Female,Brown,Medium,Short,Not Sure,Not Sure,Healthy,Young Adult (7-24m),True,False,True,True,1,True,Slow,,,,,False,
22,dfb0b0928,High,0.5731391263483305,0,Sherry,1,12,307,2,2,2,1,1,1,1,1,0,8.0,"Sherry was rescue from BDKL. She's very friendly, good character and has a shinning coat.",Dog,Mixed Breed,Female,Brown,Medium,Short,Yes,Yes,Healthy,Young Adult (7-24m),True,False,True,True,1,True,Slow,,,,,False,
23,bbe6ff890,High,0.5730226398983691,0,Courty,1,72,307,2,4,2,2,1,1,1,1,0,9.0,"Courty is named after the food court where she used to live as a stray. She's already 6 years old, healthy and spayed. I have found her when she was 1 year old and never managed to find her a forever home. She is very sensitive and emotional doggie that needs lots of attention and love. She's obedient and quiet. Loves children and people in general. Would be great as a pet for a family with kids. Please, give me a call if you think she would be right dog for you.",Dog,Mixed Breed,Female,Yellow,Medium,Medium,Yes,Yes,Healthy,Adult/Senior (25+m),True,False,True,True,1,True,Slow,92.0,65.0,"Courty is named after the food court where she used to live as a stray. She's already 6 years old, healthy and spayed. I have found her when she was 1 year old and never managed to find her a forever home. She is very sensitive and emotional doggie that needs lots of attention and love. She's obedient and quiet. Loves children and people in general. Would be great as a pet for a family with kids. Please, give me a call if you think she would be right dog for you.","Courty is a 72-month-old female, medium-sized, yellow mixed-breed dog with medium fur length. She is fully vaccinated and sterilized and currently in good health. Courty was found as a stray and is a sensitive and emotional dog who thrives on attention and love. She is obedient and quiet, and enjoys the company of children and people. Courty would likely flourish in a home with children.",True,-27.0
24,52f3d0bf9,High,0.5727912862888316,1,K-8 Charley,1,24,307,1,2,2,2,1,1,1,1,0,3.0,"""This dog is one of the dogs rescued from the Klang Pound in April just before D-day (when they are put to death). It has been rehabilitated and urgently needs a loving home as we have limited resources. It is unfortunate that due to the aggressiveness of the contracted dogcatchers, most of these beautiful dogs are not strays and previously had homes. Hence, most of them are sociable and loving. The Serving the voiceless, SAS Volunteer. P/s: Please contact Jackie by calling or texting her at, she's at grandma at emails. """,Dog,Mixed Breed,Male,Brown,Medium,Medium,Yes,Yes,Healthy,Young Adult (7-24m),True,False,True,True,1,True,Fast,,,,,False,
25,3bef75882,High,0.5727743061352784,1,,1,24,307,3,1,2,1,2,1,1,2,0,2.0,Please give local dogs a home Actually they are 4 dogs! There are mother n son one more mother n daughter. They are poor doggies! The bad stall complaint there stay here n disturb their business! Suddenly these poor dogs son n daughter missing! Now leave these 2 mother dogs! This mother dogs actually can live happy with their son n daughter! Too bad human being make them live alone! Human make their family broken! These both mothers also got bad history! They also dump by their owner! They also alaways bully n abuse by human! Both of mother dogs though that can live together be best friend! Too bad their dream can not go thru! Someone warning want they die! I get this news not choice i bring them to the vet! Now they are safe! Keep in the vet make me costly a lot hope! you can open your heart to bring them home! Pls give them a chance! They are spayed! Share pls !,Dog,Mixed Breed,Mixed,Black,Medium,Short,No,Yes,Healthy,Young Adult (7-24m),True,True,True,False,1,True,Fast,,,,,False,
26,5f5d44f43,High,0.5724896393122383,0,Bongo (need Caretaker),1,36,307,1,1,2,1,2,2,2,1,0,3.0,"I am finding a kind soul who can help care for this dog. He's found with TVT virus, a tumour that can be cured. He'll need to take medicine and chemotherapy injection every Saturday (so far 2 injection done, may needed 4 more depends on condition). All expenses will be covered by me, I can also help on transportation, but need someone help to take care as I am having private issue. Please do let me know if anyone can help. Kindly contact Thanks.",Dog,Mixed Breed,Male,Black,Medium,Short,No,No,Minor Injury,Adult/Senior (25+m),True,False,True,True,1,True,Slow,84.0,54.0,"I am finding a kind soul who can help care for this dog. He's found with TVT virus, a tumour that can be cured. He'll need to take medicine and chemotherapy injection every Saturday (so far 2 injection done, may needed 4 more depends on condition). All expenses will be covered by me, I can also help on transportation, but need someone help to take care as I am having private issue. Please do let me know if anyone can help. Kindly contact Thanks.","Bongo is a medium-sized, black, short-haired mixed-breed dog. He is 36 months old and male. Bongo has a minor injury. He requires ongoing care, including medication and chemotherapy injections every Saturday, following previous treatments. He is not vaccinated or sterilized. A caring individual is needed to provide the necessary support and administer these treatments.",True,-30.0
27,b8bf2c090,High,0.5723688958449638,0,Muffin & Cookie (Neutered),1,24,307,2,2,2,2,1,1,1,2,0,21.0,"The stray female dog living below my apartment who the feeder constantly feeds gave birth to four puppies. Two of them were adopted, leaving Muffin and Cookie. Muffin is the one with a furry head. Both Muffin and Cookie are very friendly and healthy as good neighbors always feed them with nutritious pet food, bath them weekly and play with them every day. Also they are dewormed, vaccinated and spayed/neutered. However, some heartless people around this area are constantly hitting them with stick,helmet and even steel chain.Today another waste picker threatened to kill them with mouse powder. The feeder is unable to take care of them anymore. It is best to find them a proper home so that they won't have to wander around the street in future. Your little help means a lot to them. Interested kindly contact me via PM.. The location is Penang island. Transportation to other areas can be arranged. Take them home! Thank you.",Dog,Mixed Breed,Female,Brown,Medium,Medium,Yes,Yes,Healthy,Young Adult (7-24m),True,True,True,True,1,True,Slow,,,,,False,
28,eb77432cd,High,0.5722685809779119,0,Baby,1,29,307,2,3,2,1,2,3,1,1,0,4.0,"Hello everyone, Her name is baby. She is 2-3 years old. I found her in Sentul Market with injured leg 2months ago. All this while we took care of her till she recover. But now we've been facing problems from neighbour. We can’t take care of her permanently because we already have 3 more adopted dogs at home. I really need someone who can take care and give a safe shelter for baby. She is a very loving, playful and active doggy. Those who interest to adopt her, please PM me. Thank you very much.",Dog,Mixed Breed,Female,Golden,Medium,Short,No,Not Sure,Healthy,Adult/Senior (25+m),True,False,True,True,1,True,Slow,95.0,64.0,"Hello everyone, Her name is baby. She is 2-3 years old. I found her in Sentul Market with injured leg 2months ago. All this while we took care of her till she recover. But now we've been facing problems from neighbour. We can’t take care of her permanently because we already have 3 more adopted dogs at home. I really need someone who can take care and give a safe shelter for baby. She is a very loving, playful and active doggy. Those who interest to adopt her, please PM me. Thank you very much.","Baby is a 29-month-old, medium-sized, golden-colored, short-haired mixed-breed female dog. Two months ago, she was found in Sentul Market with an injured leg. She has since recovered and is currently healthy. Baby is a loving, playful, and active dog. Due to space constraints and caring for three other adopted dogs, we need to find her a safe and permanent home where she can thrive.",True,-31.0
