rank,PetID,tier,proba_slow,y_proba,y_true,Name,Type,Age,Breed1,Gender,Color1,MaturitySize,FurLength,Vaccinated,Sterilized,Health,Quantity,Fee,PhotoAmt,Description
39,9c3f9ca37,High,0.5703948073007971,0.42960519269920294,0,Pretty Lady,1,24,307,2,2,2,1,2,1,1,1,0,2.0,"Pretty Lady was an abandoned puppy, and has turned out to be a sweet dog who looks like an Australian Shepherd mix. She has a best friend (black mixed breed dog, female, spayed). Preferably, the two dogs should be adopted together as they love each other."
40,f3c42e04b,High,0.5703379752202739,0.42966202477972615,0,K-11 Herbie,1,36,307,1,1,2,2,3,3,1,1,0,3.0,"I guess dogs like Herbie at not the ones you pick out immediately, but bear in mind the heart of gold he has. ""This dog is one of the dogs rescued from the Klang Pound in April just before D-day (when they are put to death). It has been rehabilitated and urgently needs a loving home as we have limited resources. It is unfortunate that due to the aggressiveness of the contracted dogcatchers, most of these beautiful dogs are not strays and previously had homes. Hence, most of them are sociable and loving. Serving the voiceless, SAS Volunteer. P/s: Please contact Jackie by calling or texting her at, she's a grandma at emails. """
41,563eaa005,High,0.5702818321349168,0.42971816786508327,0,Bobby,1,36,307,1,1,2,1,1,1,1,1,0,1.0,Very friendly and loves people. Please adopt from SPCA. Rescued from Pulau Ketam.
42,d0b5fece1,High,0.5701009117518916,0.42989908824810846,0,Millie,1,60,307,2,2,2,1,1,1,1,1,0,7.0,She is a very sweet dog who loves a lot of attention and is great with children. We previously adopted her from the SPCA. Her previous owner removed her voice therefore she is unable to bark.
43,eb6c692dc,High,0.5699501312069496,0.4300498687930504,0,Marie Girl,1,3,307,2,2,2,1,1,1,1,1,200,6.0,Smart & playful & loyal companion friend :)
44,d1b183683,High,0.5697704699099033,0.4302295300900967,0,Mimi,1,12,307,2,4,2,2,1,1,1,1,0,2.0,Rescue from BDKL. More details please contact Jacklyn 
45,ed7cde89e,High,0.5696446299576722,0.4303553700423278,0,Ting Ting,1,12,307,2,2,2,1,1,3,1,1,0,1.0,sweet and gentle. chrisy is suitable for most homes looking for a family dog.
46,5dff15fc4,High,0.569536627911962,0.4304633720880379,0,K-21 Bill,1,24,307,1,2,2,2,1,3,1,1,0,2.0,"Bill is a strong boy who's intelligent and with a heart to love. ""This dog is one of the dogs rescued from the Klang Pound in April just before D-day (when they are put to death). It has been rehabilitated and urgently needs a loving home as we have limited resources. It is unfortunate that due to the aggressiveness of the contracted dogcatchers, most of these beautiful dogs are not strays and previously had homes. Hence, most of them are sociable and loving. Serving the voiceless, SAS Volunteer. P/s: Please contact Jackie by calling or texting her at, she's a grandma at emails. """
47,711bebb99,High,0.5691797942263347,0.4308202057736653,0,Daisy,1,4,307,2,3,2,1,3,3,1,1,0,1.0,She is very friendly towards other people and loves to eat treats. She is currently staying at the SPCA Penang.
48,366a03818,High,0.5690049185107776,0.4309950814892224,0,Buddy,1,12,307,1,2,2,2,1,1,1,1,0,0.0,"It's a very intelligent, obedient, playful dog and is very gentle with children. The dog knows the way back home and does not need a leash. It will follow you home and very good guard dog. It eats homemade food."
49,6309f250d,High,0.5689814679662807,0.4310185320337193,1,Banshee,1,24,307,2,2,2,2,1,1,1,1,0,5.0,She was abandoned by her previous owner who kept her as a guard dog to take care of his factory.The factory was sold and the new owner found her with a few puppies there. All her puppies were successfully re-homed. Now is her turn to get a good home. She is human-friendly and has no problem getting along with other dogs. No caging or tying for long hour except for precautionary purposes. Serious adopter pls call or sms me.
50,e11e6cf89,High,0.5688905141739848,0.43110948582601516,0,Save Me Or I'll Die #27,1,12,307,3,1,2,2,1,3,1,3,0,2.0,"PLEASE RESCUE/ADOPT ME FROM KLANG POUND OR I WILL BE PUT TO DEATH BY THIS WEEK, 14/3/10. I don't want to die,and I will love you immensely for saving me. Help!!! THis is a owner dog. She IS VERY PRETTY. Someone pls save her. She is perfect condition.She weighs under 10 kg well mannered & dainty. Please call ----------------------------------------------------- Adoption Procedure: This dog has been caught by Majlis Perbandaran Klang, and if nobody comes forward to adopt it, it will be euthanized within a few days. Even owned dogs are also often caught, and the owners are not aware for it. Those wishing to adopt this pet from Klang Dog Pound, please follow the procedures below: 1. Drive to Pusat Kurungan Haiwan Lebuh Sultan Muhammad Kawasan Perindustrian Bandar Sultan Sulaiman Pelabuhan Klang Tel : (For Sat & Sun, opening hours are 8am - 12pm) 2. Secure a Borang Permohonan Tuntutan Anjing, Selepas Tempoh 7 hari. Complete it & ensure it is endorsed by the relevant officier & stamped with relevant chop. 3. Provide a photostated copy of your Identification Card or Passport with each application * policies & requirements stiffen day by day * Advisable to provide a copy of IC/Passport per application (Just in case) * Secure extra application if there is any inkling of additional adoption. * Don't expect any leniency (Even we committee members, slaves & beggars don't have any unless OK by big guy) 4. Please be compassionate. Put yourself in their shoes: locked inside knowing its over. THEY DO KNOW. 5. I have seen them wasted much close to D days. Don't tell me they didn't undergo heightened enxiety & despair in anticipation of the end. What's worse their owners never came for them."
51,5e0519e3d,High,0.5688112649408652,0.4311887350591348,0,Anna & Elsa,1,24,307,2,2,2,2,1,1,1,2,0,6.0,• Anna & Elsa • both female • spayed • fully vaccinated • distemper negative • heartworm negative • birth date 18th August • MUST be adopted together These 2 lovely doggies need their loving home urgently. They were abandoned and went through a lot.
52,2abfa66d6,High,0.5685275954591029,0.431472404540897,0,Jolly Fka Judy,1,24,307,2,2,2,1,1,1,1,1,250,2.0,Jolly is a very friendly spayed 2- year- old. Fully vaccinated and now looking for her forever home. Do drop by at the shelter to get to know her better. Look at her smiley face and you know she won't fail to lather you with kisses!
53,b630ac493,High,0.5684899706593437,0.4315100293406563,0,Lily,1,24,307,2,1,2,2,1,1,1,1,100,2.0,"Lily - big structured bone dog ,was rescued on 24th Feb 09. Found in Subang Jaya, hungry and scared and soaked under heavy rain. Looked very lost in cross road traffic. Now Lily proved to be a brave, happy, hoppy, alert and friendly. Good guard-dog and obedient. Now spayed and vacinated, ready to be rehomed. Interested. pse sms Ms Julie : state: lily. will call back after 6pm. Adopter need to reimburse back medical fees."
54,400eaa6d5,High,0.5684636458511487,0.43153635414885133,0,Jil,1,18,307,2,1,2,1,1,1,1,1,0,8.0,"Jil & Jack are siblings taken care of by an executive in Proton, Glenmarie. One day both were caught by Shah Alam Authorities. He seeked my advice.He reclaimed them out at full fees, sorted out by the vets & came to us since april,. Jack was lucky & was adopted by a gentleman in June,. Jil stays on with the rest here growing up strongly to this handsome dog today. I think she has a chip on her shoulder for being left behind. Someone could change that merely by loving her & give her a home. Are you the one ? Otherwise, she is normal like all the dogs here maybe a bit apprehensive at times but suerly will join in when all other dogs crowd round us. She doesn't want to miss out either. More details, pls contact."
55,0306e85dd,High,0.5684263833030272,0.43157361669697286,0,Maxtor,1,102,307,1,2,2,1,3,3,1,1,0,1.0,His Been 8 year ady.....He Love alot of Attention We are going to Move that why We cant take him with us.......So To those who LOve Dog Please Take good care of him
56,1ac7dad15,High,0.5683984947866099,0.4316015052133902,0,K-7 Haki,1,60,307,1,2,2,2,3,3,1,1,0,4.0,"Haki is a stout manly man who's soft on the inside. ""This dog is one of the dogs rescued from the Klang Pound in April just before D-day (when they are put to death). It has been rehabilitated and urgently needs a loving home as we have limited resources. It is unfortunate that due to the aggressiveness of the contracted dogcatchers, most of these beautiful dogs are not strays and previously had homes. Hence, most of them are sociable and loving. Serving the voiceless, SAS Volunteer. P/s: Please contact Jackie by calling or texting her at, she's a grandma at emails. """
57,85327438d,High,0.5683554304946058,0.4316445695053942,0,Clover [wolf-alike-dog],1,72,307,2,1,2,3,1,1,1,1,0,24.0,"""""what you see is what you get"""" 1.Clover is CALM and EASY. She's very easy to manage. Slow and steady. FAST LEARNER. Food motivated dog.. can be a real good watch dog as she's very alert and would bark when stranger approach house and ""talk"" when owner returns home. 2. Clover has finished her training course. Adopter will need to keep on with the training tho..:) she knows:- Sit, Stay, Down, wait before food, patience before leave for walk. 3. Medical condition:- Clover is hypothyroid which cause her skin to be flaky. she's on Oroxine now and level back to normal. b. her skin is also environmental affected. especially during windy day she scratches more. 4. Adopter are require to:-- i. love her unconditionally ii. Spay her iii. Walk her every day. (she's low energy, suitable for slow jogger) iv. preferably experienced dog owner. even better for trainer! 5.Clover is NOT suitable to go to:- i. house with puppies/small FURRY dogss.(unless you're an experience dog owner) 6. For those who are interested to view or know more about Clover (you can rename her later) or even ""FOSTER"" her for few days(terms require)to see if she's suitable for you, you can always email me or call . 7. Clover is often being called a ""big baby"". She has attitude. She is very loyal to one owner. when she was moved to a temporary foster home she will sometimes find her way out to get to the owner. but it only takes few days time to settle her down to new environment as she's very close to human."
58,564356241,High,0.5680873931374937,0.4319126068625064,0,Ying Yong,1,24,307,2,2,2,1,2,2,1,1,0,3.0,"a stray dog rescued from the evil hands of mbpj's dog catchers.Now being fostered by a friend of mine. She is very timid,& friendly.Suitable to be keep in indoor.A small adoption fees will be charged to cover some of d vet bill.D dog is available in Selangor"
59,6029bf590,High,0.5680495147643418,0.43195048523565815,0,Lisa Girl,1,6,307,2,2,2,1,1,1,1,1,100,6.0,"Sweet, loyal, friendly girl. A great addition to the family WhatsApps for more info"
60,7ddf00d90,High,0.5679930250437117,0.43200697495628826,0,K-30 Momo,1,24,307,2,2,2,2,1,1,1,1,0,2.0,"""This dog is one of the dogs rescued from the Klang Pound in April just before D-day (when they are put to death). It has been rehabilitated and urgently needs a loving home as we have limited resources. It is unfortunate that due to the aggressiveness of the contracted dogcatchers, most of these beautiful dogs are not strays and previously had homes. Hence, most of them are sociable and loving. Serving the voiceless, SAS Volunteer. P/s: Please contact Jackie by calling or texting her at, she's a grandma at emails. """
61,a2dccbe51,High,0.5679780868851483,0.4320219131148518,0,Abbie,1,6,307,2,5,2,1,1,2,1,1,0,3.0,"Active. Like to play with other dogs. Like to eat. Friendly. Except only when having her meal. Do not like people disturb when eating or drinking. (She will bite if she being disturb) A good guard dog. -Due to some problem in my home, i have forced to give away the dog. I wish she can meet someone who is nice and love dog."
62,76024f2ed,High,0.5679179985931462,0.4320820014068539,1,Fay,1,5,307,2,2,2,1,1,1,1,1,0,5.0,"Fay has a cute face, well-behaved and with good character. It loves to play with people and very friendly. Besides, it also a good guard dog."
63,802a18435,High,0.5678872667070659,0.4321127332929341,0,Grumpy,1,36,307,2,1,2,2,1,1,1,1,30,3.0,"Mix breed, medium size and medium length to look long fur length. Friendly female, good guard dog."
64,3209cdc3c,High,0.5678710089765557,0.43212899102344426,1,KD Super Parents (Urgent Adoption),1,24,307,3,1,2,1,3,1,1,3,0,11.0,"3 adult doggies & 7 puppies are currently seeking shelter at the car park of an office building in Damansara area. Way too many complaints on their presence were lodged to the Management office. And the Management office has instructed the security guard to call MPPJ, and this is like more than a week ago. The security guard will have to act upon the instruction given to him in the next 2 days. So, in the meantime, we would really appreciate assistance in any form in finding them temporary home/fosterers. Or if you know of any factory or farms who have space for them? If they are not out within the next 2 days, they would end up being the tiger’s desserts! P/S : The adult doggies are tame & easy to approach, so not much headache there. 2 black puppies, one male, one female 5 brown puppies, 4 male, 1 female 2 female adult doggies 1 male adult doggies Terms and conditions for adoption are: 1) MUST be spayed /neutered at 7 months (this is very important as we don't want more puppies as there's already the problem of over population) 2) MUST NOT be caged or chained for long periods of time 3) MUST be provided with sufficient shelter from sun and rain 4) MUST be played with/walked everyday If you cannot fulfill the above conditions then you are not a suitable adopter. If you do, then please do give us a call. Only serious adopters will be entertained. Please help to share ♥"
65,106de20f0,High,0.5678164628445187,0.4321835371554813,0,Ducky,1,12,307,2,2,2,1,1,1,1,1,250,4.0,"Ducky is alert, active and very friendly. We are sure she will make a good and loyal pet."
66,54314d17b,High,0.5676680373972247,0.43233196260277523,1,Tony,1,18,307,1,1,2,1,1,2,1,1,100,1.0,Tony was found abandoned at Putra Perdana area. He is a friendly dog & can get along with children. He is looking for an owner who can spare time & love with him.
